3,990,456
1,425,976
1,030,119
883,305
530,093
508,529
467,354
429,082
383,579
352,005
332,725
330,063
311,178
282,572
271,651
237,807
215,941
215,030
213,739
210,089
209,877
209,050
201,361
200,641
181,107
177,751
177,586
176,080
172,886
172,646
168,819
159,620
159,053
156,667
156,259
153,185
152,361
152,213
145,182
141,371
139,640
139,484
139,117
133,800
129,688
129,488
127,690
125,851
123,905
122,312
121,913
121,643
116,884
115,877
115,586
114,985
114,742
113,615
112,269
112,022
111,535
111,128
110,146
109,419
108,393
107,408
107,008
106,311
105,120
105,025
103,695
103,440
103,241
101,224
100,154
98,616
96,847
96,617
95,274
95,202
94,776
94,443
92,595
91,909
91,812
91,772
91,583
91,411
91,350
91,240
90,938
90,269
89,703
87,910
86,965
86,200
86,064
85,623
85,326
85,275
84,649
83,447
83,377
83,316
82,421
82,372
81,592
80,430
80,140
79,795
79,263
79,133
79,022
78,338
77,131
77,000
75,839
75,813
74,585
74,559
73,508
73,504
72,437
71,586
70,504
69,825
69,289
69,127
68,183
67,787
67,733
67,412
67,221
66,995
66,992
66,666
66,266
65,706
65,091
64,857
64,822
64,725
64,475
63,821
63,800
63,625
63,445
62,904
62,888
62,632
62,183
61,917
61,431
60,531
60,401
60,170
60,000
59,988
59,721
59,556
58,756
58,704
58,610
58,173
58,115
56,910
56,275
55,814
55,655
55,406
54,902
54,741
54,412
54,387
54,155
53,920
53,727
53,682
53,185
53,014
52,002
51,783
51,671
50,572
50,462
49,958
49,704
49,241
49,226
48,958
48,867
48,769
48,683
48,375
48,325
48,198
47,978
47,963
47,728
47,446
47,357
45,839
45,236
45,135
45,104
44,650
44,120
43,753
43,601
43,047
42,760
42,466
42,331
42,129
41,928
41,535
40,335
40,139
40,074
39,908
39,749
39,437
39,214
38,759
38,402
38,234
37,280
36,854
36,715
36,576
36,478
36,225
36,120
36,013
35,728
35,532
34,903
34,549
34,496
34,467
34,183
34,160
34,151
33,982
33,930
33,730
33,627
33,532
32,754
32,212
32,206
31,353
31,253
31,124
31,121
31,024
30,821
30,704
30,680
30,599
30,531
30,467
30,439
30,364
30,330
30,011
30,006
30,001
29,713
29,519
29,479
28,940
28,885
28,769
28,306
28,289
27,976
27,849
27,585
27,484
27,447
27,298
27,113
27,002
26,998
26,969
26,800
26,610
26,521
26,474
26,440
26,418
26,226
26,013
25,611
25,601
25,579
25,411
25,364
25,313
25,101
25,080
24,807
24,780
24,510
24,477
24,382
24,316
24,119
23,972
23,954
23,826
23,708
23,700
23,537
23,487
23,455
23,284
22,991
22,654
22,557
22,535
22,479
22,377
22,352
22,260
22,237
22,173
22,036
21,871
21,827
21,726
21,676
21,651
21,537
21,527
21,522
21,390
20,928
20,767
20,521
20,497
20,472
20,423
20,402
20,359
20,227
20,196
20,058
20,024
19,959
19,951
19,908
19,806
19,706
19,666
19,658
19,465
19,318
19,299
19,204
19,072
18,771
18,336
18,257
18,087
17,832
17,695
17,692
17,648
17,603
17,600
17,485
17,213
16,963
16,750
16,719
16,706
16,672
16,561
16,534
16,527
16,213
16,177
16,166
16,046
16,027
15,999
15,915
15,896
15,832
15,809
15,714
15,597
15,568
15,546
15,525
15,521
15,454
15,384
15,286
15,277
15,228
15,182
15,165
15,123
15,037
15,010
14,799
14,795
14,451
14,440
14,427
14,424
14,315
14,295
14,283
14,217
14,182
14,103
14,023
13,528
13,500
13,474
13,457
13,404
13,395
13,379
13,358
13,343
13,218
13,186
13,082
12,973
12,968
